movie_title,release_year,tmdb_id
"The Last Days of Disco",1998,16980
"Trading Places",1983,1621
"Chef",2014,212778
"Iron Man",2008,1726
"Sudden Death",1995,9091
"Alien",1979,348
"Indecent Proposal",1993,4478
"He Got Game",1998,9469
"Cape Fear",1991,1598
"Adventureland",2009,16614
"Bad Boys",1983,13633
"Catch Me If You Can",2002,640
"Whiplash",2014,244786
"Sleepless in Seattle",1993,858
"The Vanishing",1993,1644
"Deliverance",1972,10669
"Big",1988,2280
"Alive",1993,7305
"Sideways",2004,9675
"Cliffhanger",1993,9350
"Mission: Impossible - Fallout",2018,353081
"I Am Legend",2007,6479
"The Verdict",1982,24226
"Man on Fire",2004,9509
"Body Heat",1981,14412
"Blow Out",1981,11644
"Cruising",1980,27958
"American Gigolo",1980,2768
"The Edge",1997,9433
"Pineapple Express",2008,10189
"Glengarry Glen Ross",1992,9504
"Pitch Perfect",2012,114150
"Boogie Nights",1997,4995
"Margin Call",2011,50839
"Singles",1992,11068
"Saving Private Ryan",1998,857
"Scent of a Woman",1992,9475
"Grease",1978,621
"School Ties",1992,14684
"Can't Buy Me Love",1987,12919
"Unforgiven",1992,33
"There Will Be Blood",2007,7345
"Above the Rim",1994,19092
"Top Gun: Maverick",2022,361743
"Misery",1990,1700
"Project X",2012,57214
"The Untouchables",1987,117
"Hard to Kill",1990,9569
"Knocked Up",2007,4964
"Cop Land",1997,2142
"Rocky III",1982,1371
"E.T. the Extra-Terrestrial",1982,601
"Beverly Hills Cop II",1987,96
"Austin Powers: International Man of Mystery",1997,816
"A League of Their Own",1992,11287
"Spider-Man",2002,557
"The Player",1992,10403
"Die Hard 2",1990,1573
"Panic Room",2002,4547
"Shooter",2007,7485
"Titanic",1997,597
"Batman",1989,268
"The Ice Storm",1997,68924
"Kramer vs. Kramer",1979,12102
"Parenthood",1989,1552
"Rachel Getting Married",2008,14976
"Ordinary People",1980,16619
"Casino",1995,524
"Miracle",2004,14292
"Juice",1992,16136
"Limitless",2011,51876
"Father of the Bride",1991,11846
"The Last Boy Scout",1991,9319
"Saturday Night Fever",1977,11009
"JFK",1991,820
"Hoosiers",1986,5693
"Focus",2015,256591
"Ransom",1996,3595
"Halloween",1978,948
"The Color of Money",1986,11873
"Cobra",1986,9874
"Trainspotting",1996,627
"Dirty Work",1998,14577
"Warrior",2011,59440
"Hardball",2001,20857
"Rain Man",1988,380
"Argo",2012,68734
"Superbad",2007,8363
"Escape to Victory",1981,17360
"The Bodyguard",1992,619
"Fight Club",1999,550
"Legally Blonde",2001,8835
"Independence Day",1996,602
"Boyz n the Hood",1991,650
"Stripes",1981,10890
"City Slickers",1991,1406
"Raiders of the Lost Ark",1981,85
"Memento",2000,77
"The Rock",1996,9802
"Lethal Weapon 2",1989,942
"What About Bob?",1991,10276
"Predator",1987,106
"Mrs. Doubtfire",1993,788
"Manhunter",1986,11454
"Lethal Weapon",1987,941
"Thief",1981,11524
"Commando",1985,10999
"Insidious",2010,49018
